pathway_step_id	step_name	role	substrate	product	expected_enzyme_families	known_seed_examples	query_ids	expected_evidence	unresolved_caveats	claim_limit
STEP_TYDC	tyrosine_decarboxylation	precursor_supply	L-tyrosine	dopamine_via_tyramine	aromatic_amino_acid_decarboxylase	TYDC	Q001	homology;domain;expression_context	Broad decarboxylase family can create false positives.	candidate_only
STEP_NCS	norcoclaurine_formation	pathway_anchor	dopamine+4-HPAA	(S)-norcoclaurine	norcoclaurine_synthase;PR10_like	NCS;CjNCS	Q002	homology;domain;genome_neighborhood_if_available	NCS-like hits support pathway anchoring; downstream chemistry needs further evidence.	candidate_or_context
STEP_6OMT	6_O_methylation	BIA_tailoring	norcoclaurine	coclaurine	SAM_dependent_OMT;Methyltransf_2	6OMT;Cj6OMT	Q003	homology;domain;phylogeny	Broad OMT family; clade and motif required for specificity.	candidate_only
STEP_CNMT	N_methylation	BIA_tailoring	coclaurine	N-methylcoclaurine	SAM_dependent_NMT	CNMT;CjCNMT	Q004	homology;domain;phylogeny	NMT clade specificity needs review.	candidate_only
STEP_CYP80B	3_hydroxylation	BIA_tailoring	N-methylcoclaurine	3-hydroxy-N-methylcoclaurine	CYP80B	CYP80B;CjCYP80B2	Q005	homology;domain;phylogeny	Broad P450 family; clade placement required.	pathway_hypothesis
STEP_4OMT	4_prime_O_methylation	BIA_tailoring	3-hydroxy-N-methylcoclaurine	reticuline	SAM_dependent_OMT;Methyltransf_2	4OMT;Cj4OMT	Q006	homology;domain;phylogeny	OMT family decoys required; substrate specificity is hard to predict from homology.	candidate_only
STEP_BBE	berberine_bridge_formation	BIA_branch_anchor	(S)-reticuline	(S)-scoulerine	FAD_dependent_oxidase;BBE_like	BBE;CjBBE	Q007	homology;domain;motif;phylogeny	FAD-binding oxidase superfamily; berberine-bridge specificity must be inferred from clade and motif.	candidate_or_context
STEP_CYP719A1	methylenedioxy_bridge	BIA_tailoring	scoulerine	cheilanthifoline	CYP719	CYP719A1;CjCYP719A1	Q008	domain;motif;phylogeny;coexpression	Broad CYP family; specificity reviewed against clade and known function.	review_required
STEP_STOX	tetrahydroprotoberberine_oxidation	BIA_branch_tailoring	(S)-tetrahydroprotoberberines	protoberberines	FAD_dependent_oxidase;BBE_like	STOX;CjSTOX	Q009	homology;domain;phylogeny	FAD-oxidase superfamily; clade review required.	candidate_only
STEP_TRANSPORT_REGULATION	transport_and_regulatory_context	context_only	pathway_intermediates	compartment_or_expression_context	MATE_transporter;BIA_TF	MATE_BIA_CONTEXT;BIA_TF_CONTEXT	Q010	neighborhood;coexpression;literature_context	Context only; transporter/TF hits are not enzyme candidates.	context_only
